영업상태명,지번주소,사업장명
영업/정상,서울특별시 도봉구 창동 659-19번지 ,칸꼬시
영업/정상,서울특별시 도봉구 창동 659-9번지 지상1층 ,창동빈대떡
영업/정상,서울특별시 도봉구 창동 593-6 ,행복한밥상
영업/정상,서울특별시 도봉구 창동 134-5 ,리얼펍창동역점
영업/정상,서울특별시 도봉구 창동 38-5 주공17단지 일반상가 102호 ,녹천돼지갈비
영업/정상,서울특별시 도봉구 창동 557-99 ,키다리아찌
영업/정상,서울특별시 도봉구 창동 9-1번지 지상1층 2호,칠갑산
영업/정상,서울특별시 도봉구 창동 581-75번지 ,신송분식
영업/정상,서울특별시 도봉구 창동 347-1번지 창동주공3단지 아파트상가 ,하림멕시칸치킨
영업/정상,서울특별시 도봉구 창동 804번지 창동대우아파트상가 지하1층 3호,불암식당
영업/정상,서울특별시 도봉구 창동 446-3 지상1층 ,영자네 곱창 창동점
영업/정상,서울특별시 도봉구 창동 651-77 ,정직유부 쌍문점
영업/정상,서울특별시 도봉구 창동 657-44번지 ,꽃게랑아구찜
영업/정상,서울특별시 도봉구 창동 554-1번지 ,고창식당
영업/정상,서울특별시 도봉구 창동 4-0 지하1층 ,동양식당
영업/정상,서울특별시 도봉구 창동 10-2 ,명진닭갈비 한식뷔페
영업/정상,서울특별시 도봉구 창동 569-80 ,조마루감자탕 창동점
영업/정상,서울특별시 도봉구 창동 655-22번지 ,정금식당
영업/정상,서울특별시 도봉구 창동 519-18 지상1층 ,토담순대국
영업/정상,서울특별시 도봉구 창동 826 북한산한신휴플러스아파트 ,명인소곱창
영업/정상,서울특별시 도봉구 창동 373-1 주공4단지 제일만상가 가동102호 ,쿡&치킨클럽
영업/정상,서울특별시 도봉구 창동 12-3번지 지상1층 ,해신참치
영업/정상,서울특별시 도봉구 창동 659-32번지 ,김밥타운
영업/정상,서울특별시 도봉구 창동 553-16번지 지상1층 ,골목포차
영업/정상,서울특별시 도봉구 창동 746 ,맛있는 국수
영업/정상,서울특별시 도봉구 창동 5-1 킹프라자빌딩 203호 ,장모님집
영업/정상,서울특별시 도봉구 창동 655-27번지 지상1층 ,인성식당
영업/정상,서울특별시 도봉구 창동 12-1 영진빌딩 105호,싱싱회
영업/정상,서울특별시 도봉구 창동 320-1번지 상아프라자 101호 ,골목집
영업/정상,서울특별시 도봉구 창동 578-135 ,쌍문족발보쌈
영업/정상,서울특별시 도봉구 창동 581-3번지 지상1층 1동 4호,전통남원추어탕
영업/정상,서울특별시 도봉구 창동 562-5 ,훈이네분식
영업/정상,서울특별시 도봉구 창동 518-43번지 1층 ,세상만사
영업/정상,서울특별시 도봉구 창동 5 창동다모아빌딩 ,팔딱팔딱2
영업/정상,서울특별시 도봉구 창동 448-70 지상1층 ,치킨주막 창3동점
영업/정상,서울특별시 도봉구 창동 651-2번지 지상1층 ,은미호프
영업/정상,서울특별시 도봉구 창동 135-14번지 신성상가106호 ,리빠똥호프
영업/정상,서울특별시 도봉구 창동 5번지 지상2층 204호,홍어이야기
영업/정상,서울특별시 도봉구 창동 659-1번지 지상 ,포대포
영업/정상,서울특별시 도봉구 창동 596-19 지상1층 ,향원
영업/정상,서울특별시 도봉구 창동 1-10번지 농협하나로마트(지하1층) ,정식품
영업/정상,서울특별시 도봉구 창동 659-19 ,불닭발땡초동대문엽기떡볶이쌍문역점
영업/정상,서울특별시 도봉구 창동 635-42 건영아파트 상가 115호 ,파삼솥뚜껑삼겹살
영업/정상,서울특별시 도봉구 창동 333-2 한성빌딩 1층 12호,동호호프
영업/정상,서울특별시 도봉구 창동 6번지 콤마빌딩 109호 ,비비큐(BBQ)
영업/정상,서울특별시 도봉구 창동 578-32 지상1층 ,취하리
영업/정상,서울특별시 도봉구 창동 557-65번지 (1층) ,서용미곱창
영업/정상,서울특별시 도봉구 창동 552-45번지 1층 ,너추골
영업/정상,서울특별시 도봉구 창동 296-37번지 (1층) ,교촌치킨(창동점)
영업/정상,서울특별시 도봉구 창동 582-65 (지상1층) ,요리왕 본점
영업/정상,서울특별시 도봉구 창동 585-91 (1층) ,너랑나랑
영업/정상,서울특별시 도봉구 창동 6번지 콤마빌딩 106호 ,무궁화
영업/정상,서울특별시 도봉구 창동 543-5 외1필지 (1층),해두리치킨 창동점
영업/정상,서울특별시 도봉구 창동 601-15번지 (1층) ,노란주전자
영업/정상,"서울특별시 도봉구 창동 812번지 현대타운상가 189,190호 ",먹거리매니아
영업/정상,서울특별시 도봉구 창동 661-2 지하1층,대박식당
영업/정상,서울특별시 도봉구 창동 822 ,진해장국
영업/정상,서울특별시 도봉구 창동 10 외1필지(106호) ,푸라닭창4동점
영업/정상,서울특별시 도봉구 창동 568-2번지 ,교촌치킨
영업/정상,서울특별시 도봉구 창동 135-28 SR스타빌상가 119호,창동쏘스삼겹살
영업/정상,서울특별시 도봉구 창동 749 지상1층 ,완도찌개마을
영업/정상,서울특별시 도봉구 창동 651-79번지 (지상1층) ,박리분식
영업/정상,서울특별시 도봉구 창동 487-37번지 지상1층 ,맛나치킨
영업/정상,서울특별시 도봉구 창동 443-7번지 (지상1층) ,최고집
영업/정상,서울특별시 도봉구 창동 135-28번지 에스알스타빌 111호,부산오뎅
영업/정상,서울특별시 도봉구 창동 657-126번지 2층 ,솥뚜껑생생오리
영업/정상,서울특별시 도봉구 창동 545-2번지 ,황금칡냉면
영업/정상,서울특별시 도봉구 창동 74-12번지 (지상1층) ,미소야
영업/정상,서울특별시 도봉구 창동 254-30번지 창동그린(아) 104호 ,광해수산
영업/정상,서울특별시 도봉구 창동 254-35번지 지상1층 ,본죽&비빔밥 카페 창동점
영업/정상,"서울특별시 도봉구 창동 651-59 101,102호",목포항회세꼬시창동점
영업/정상,서울특별시 도봉구 창동 659-12 지하1층 ,다락방
영업/정상,서울특별시 도봉구 창동 557-5번지 ,호프할래?
영업/정상,서울특별시 도봉구 창동 560-4번지 ,공릉동닭한마리
영업/정상,서울특별시 도봉구 창동 812 현대타운아파트상가 152호,부티풀 (구)한우양곱창구이
영업/정상,서울특별시 도봉구 창동 659-16 ,글림
영업/정상,서울특별시 도봉구 창동 27-3 주공19단지상가 128호 ,또래오래 창동역점
영업/정상,서울특별시 도봉구 창동 812번지 현대타운아파트 ,짚신매운갈비찜쌍문점
영업/정상,서울특별시 도봉구 창동 657-111,육가
영업/정상,서울특별시 도봉구 창동 135-28번지 창동 에스알스타빌 112호 ,창동곱창포차
영업/정상,서울특별시 도봉구 창동 27-3번지 주공 19단지 상가 1층 105호 ,복돼지
영업/정상,서울특별시 도봉구 창동 593-20 ,시골집
영업/정상,서울특별시 도봉구 창동 635-42번지 건영A상가 103동 118호 ,멘야코노하
영업/정상,서울특별시 도봉구 창동 4 월드프라자 108호 ,치킨뱅이창동역점
영업/정상,"서울특별시 도봉구 창동 10-3 세정빌딩 101,102,103,104호 ",왕골감자탕
영업/정상,서울특별시 도봉구 창동 813번지 현대아파트상가 101 (지상1층) ,정거장숯불바베큐
영업/정상,서울특별시 도봉구 창동 134-36번지 (지하1층) ,"광동 辛 대구탕,뽈테기"
영업/정상,"서울특별시 도봉구 창동 805 동아그린아파트상가 206,207,208호 ",취바홉
영업/정상,서울특별시 도봉구 창동 331-2번지 중앙빌딩106호 ,빈대떡신사
영업/정상,서울특별시 도봉구 창동 621-4번지 노블캐슬상가 106호,네바다횟집
영업/정상,서울특별시 도봉구 창동 715-3번지 미소애아파트상가 112호 ,차돌집
영업/정상,서울특별시 도봉구 창동 657-126번지 (지상1층) ,대동원회시장
영업/정상,서울특별시 도봉구 창동 448-74 (지상1층) ,서래왕차돌
영업/정상,서울특별시 도봉구 창동 543-7 (지상1층) ,한잔할까
영업/정상,서울특별시 도봉구 창동 4번지 월드프라자 107호 ,호호포차
영업/정상,서울특별시 도봉구 창동 647-1 북한산홈시티 201동 103호 ,# 로그인
영업/정상,서울특별시 도봉구 창동 5 창동다모아빌딩 ,정산포뻘낙지
영업/정상,서울특별시 도봉구 창동 518-42번지 (지상1층) ,김밥하우스
영업/정상,서울특별시 도봉구 창동 750-2번지 창동리더스빌딩 106호,치킨홀릭
영업/정상,서울특별시 도봉구 창동 254-30 102호 (지상1층) ,국수나무 창동점
영업/정상,"서울특별시 도봉구 창동 27-3번지 주공19단지상가 133호,140호 ",2009 미스터 떡볶이
영업/정상,서울특별시 도봉구 창동 657-131 지상1층 ,인생극장(쌍문역점)
영업/정상,서울특별시 도봉구 창동 254-30 창동그린아파트상가 103호,호운소곱창
영업/정상,서울특별시 도봉구 창동 453-1번지 1층 ,신창족발
영업/정상,서울특별시 도봉구 창동 9번지 한국빌딩(지상1층) ,아바이토종순대국
영업/정상,서울특별시 도봉구 창동 659-36번지 덕천빌딩 101호 ,창동순대국
영업/정상,"서울특별시 도봉구 창동 320-1 상아프라자 제110호,제112호,제113호 ",정情 가네
영업/정상,서울특별시 도봉구 창동 541번지 (지상1층) ,남도가든
영업/정상,서울특별시 도봉구 창동 655-13번지 지상1층 ,본가  솥뚜껑 생 삼겹살
영업/정상,서울특별시 도봉구 창동 341 도봉빌리지상가 102동 104호,도봉마루
영업/정상,서울특별시 도봉구 창동 647-1 북한산현대홈시티 상가201동 108호 (지상1층) ,심서방네
영업/정상,서울특별시 도봉구 창동 10-2 (지상1층) ,힘찬장어
영업/정상,서울특별시 도봉구 창동 9-0번지 지상1층 북측 ,화통소금구이
영업/정상,서울특별시 도봉구 창동 655-14번지 지상1층 ,무진풍천장어
영업/정상,서울특별시 도봉구 창동 557-58 지상2층,양지커피호프
영업/정상,서울특별시 도봉구 창동 296-37번지 (지하1층) ,아리수
영업/정상,서울특별시 도봉구 창동 569-78번지 ,명가네 순대국
영업/정상,서울특별시 도봉구 창동 585-83번지 지상1층 ,참나무장작구이
영업/정상,서울특별시 도봉구 창동 135-28번지 에스알스타빌 113호,대세노가리
영업/정상,서울특별시 도봉구 창동 341번지 동진빌리지상가 101동 101호,남원추어탕
영업/정상,서울특별시 도봉구 창동 500-0번지 1층 다호 ,칼국수랑 돼지나라
영업/정상,서울특별시 도봉구 창동 288-7,대관령 감자 옹심이
영업/정상,서울특별시 도봉구 창동 541-2번지 지상1층 ,복호프치킨
영업/정상,서울특별시 도봉구 창동 27-3 주공19단지 종합상가 지하 14호 ,맛나식당
영업/정상,서울특별시 도봉구 창동 655-3 ,노랑통닭 쌍문역점
영업/정상,서울특별시 도봉구 창동 38-1번지 주공아파트17단지복합상가 212호(지상2층) ,금희네삼겹살
영업/정상,서울특별시 도봉구 창동 518-43번지 ,바른생활 맥주집
영업/정상,서울특별시 도봉구 창동 75-13번지 지하1층 ,더블유바
영업/정상,서울특별시 도봉구 창동 38-1번지 주공17단지 상가 209호 ,장터국수
영업/정상,서울특별시 도봉구 창동 585-72번지 ,영자네
영업/정상,서울특별시 도봉구 창동 296-17번지 ,153꼬끼오왕닭갈비
영업/정상,서울특별시 도봉구 창동 657-83 지상1층 ,겨리
영업/정상,서울특별시 도봉구 창동 632-25 지상1층 ,우리집김밥
영업/정상,서울특별시 도봉구 창동 657-14번지 지상1층 ,광장포차
영업/정상,"서울특별시 도봉구 창동 819-0 창동데시앙아파트 상가동 109호,110호 ",굽네치킨(창2동점)
영업/정상,서울특별시 도봉구 창동 261-6번지 102호 (지상1층) ,진영칼국수해물찜
영업/정상,서울특별시 도봉구 창동 181-46번지 플러스 오피스텔 ,참생고기집
영업/정상,서울특별시 도봉구 창동 13번지 제1층3호 ,이디야
영업/정상,서울특별시 도봉구 창동 557-99번지 (지하1층) ,뉴욕
영업/정상,서울특별시 도봉구 창동 552-18번지 1층 ,풍년식당
영업/정상,서울특별시 도봉구 창동 27-3 19단지종합상가 125호,굽네치킨
영업/정상,서울특별시 도봉구 창동 6-1 타워빌딩2층 202호,무지개맥주
영업/정상,서울특별시 도봉구 창동 562-23번지 ,민주네곱창
영업/정상,서울특별시 도봉구 창동 569-124번지 ,비어스토리
영업/정상,서울특별시 도봉구 창동 655-12번지 ,신의주찹쌀순대
영업/정상,서울특별시 도봉구 창동 258-11번지 (1층2호) ,치킨 매니아
영업/정상,서울특별시 도봉구 창동 657-137번지 지상1층 ,호프왕노가리
영업/정상,서울특별시 도봉구 창동 581-1번지 ,토담골
영업/정상,서울특별시 도봉구 창동 647-1번지 현대홈시티 201동 110호,창동조개일번지
영업/정상,서울특별시 도봉구 창동 659-24번지 (지상1층) ,성지칼국수
영업/정상,서울특별시 도봉구 창동 585-141번지 지상1층 ,신창빈대떡
영업/정상,서울특별시 도봉구 창동 449-86번지 제1호 ,창골멸치국수
영업/정상,서울특별시 도봉구 창동 813번지 1층 상가동동 ,멸치국수
영업/정상,서울특별시 도봉구 창동 650-30 (지상1층),버거리 쌍문점
영업/정상,서울특별시 도봉구 창동 26번지 동아아파트상가 지상1층 30호,쉐프마인드
영업/정상,서울특별시 도봉구 창동 518-16번지 ,늘해랑
영업/정상,"서울특별시 도봉구 창동 4번지 월드프라자 101,103,104호 ",찌마기창동점
영업/정상,서울특별시 도봉구 창동 74-25번지 지하1층 ,마쯔무라돈까스
영업/정상,서울특별시 도봉구 창동 74-6 지상1층,간빠이 창동역점 & 순대일번지 창동역점
영업/정상,서울특별시 도봉구 창동 826번지 북한산 한신휴플러스 아파트 104동 101호,해피돈
영업/정상,서울특별시 도봉구 창동 651-4번지 ,산전수전
영업/정상,서울특별시 도봉구 창동 621-1번지 ,민들레김밥과분식
영업/정상,서울특별시 도봉구 창동 623-31 ,창골감자탕
영업/정상,서울특별시 도봉구 창동 6번지 콤마빌딩 1층8호 ,월하
영업/정상,서울특별시 도봉구 창동 659-1 ,면장
영업/정상,서울특별시 도봉구 창동 566번지 ,맛나분식
영업/정상,서울특별시 도봉구 창동 651-13번지 1층 ,처음처럼
영업/정상,서울특별시 도봉구 창동 608-161번지 ,칙코리아
영업/정상,서울특별시 도봉구 창동 568-15번지 ,저팔계 사람잡네
영업/정상,서울특별시 도봉구 창동 578-51 지상1층 ,민이네식당
영업/정상,서울특별시 도봉구 창동 655-5번지 지상1층 ,전초전
영업/정상,서울특별시 도봉구 창동 650-49번지 ,도넛스토리
영업/정상,서울특별시 도봉구 창동 27-3 19단지종합상가 127호,악어빵집
영업/정상,서울특별시 도봉구 창동 552-4 1층 ,다인
영업/정상,서울특별시 도봉구 창동 492-31 1층 ,자담치킨초안산신창점
영업/정상,서울특별시 도봉구 창동 655-24 ,유안참치
영업/정상,서울특별시 도봉구 창동 134-11번지 ,창동식당
영업/정상,서울특별시 도봉구 창동 552-72번지 1층 ,왕노가리
영업/정상,서울특별시 도봉구 창동 750 ,삿뽀로 창동점 (주)엔타스
영업/정상,"서울특별시 도봉구 창동 750 3,4층 ",경복궁창동점(주)엔타스
영업/정상,서울특별시 도봉구 창동 621-11 제1층 ,꿀고기집
영업/정상,서울특별시 도봉구 창동 491-9번지 1층 ,전주식당
영업/정상,서울특별시 도봉구 창동 826 북한산한신휴플러스 104동 107호,소통애(창동직영점)
